re,im
-0.0058104746,0.0177842042
0.0090560616,-0.0024964942
-0.0204459950,-0.0067549735
0.0089587648,0.0100691990
0.0102646409,-0.0009565583
-0.0041846477,0.0208123217
-0.0189946046,0.0099563741
0.0003211894,-0.0039197771
-0.0061233399,-0.0094653196
0.0120506477,0.0224594072
-0.0006131136,-0.0016884913
0.0007806631,0.0180406607
-0.0163592107,0.0018279792
-0.0006974225,0.0022305558
-0.0161941283,-0.0105600142
-0.0164938632,0.0035657101
0.0086095670,0.0069443547
-0.0053574656,-0.0113296425
0.0076517757,0.0085407298
-0.0081785278,0.0065080769
-0.0095231371,-0.0078483980
-0.0110163057,-0.0018999178
-0.0097696288,-0.0020595781
0.0017751957,-0.0009551556
-0.0088141981,-0.0035156610
0.0018782871,-0.0088085688
0.0028268103,-0.0035818877
0.0185256566,-0.0131292804
-0.0154016644,-0.0110933649
0.0087890476,-0.0013497415
-0.0002429723,0.0088706518
-0.0008905554,-0.0152684110
-0.0144934106,0.0003908853
-0.0046019381,-0.0064995619
0.0076695378,-0.0095861217
-0.0012425522,0.0084836263
0.0011895368,-0.0051080296
-0.0043617605,0.0146259173
0.0124134751,-0.0063264295
-0.0007795178,0.0037916801
-0.0212916363,-0.0060012408
-0.0053167221,-0.0087455015
-0.0204971937,0.0014203001
-0.0311633919,-0.0094037303
-0.0067179644,0.0043997139
0.0128986521,0.0034185684
0.0038534241,-0.0101623248
-0.0106961736,-0.0049112144
-0.0089636461,-0.0029007941
0.0067776253,0.0131817126
0.0051136144,-0.0076464315
0.0006020648,-0.0001503145
0.0072642282,-0.0156206095
-0.0027324570,0.0059266734
0.0123383398,-0.0054400128
0.0140260717,-0.0126528988
0.0021391975,0.0006537195
